order placement_time ready_time pickup_time dropoff_time courier
o1 743 755 755.0 765.0 c109
o10 563 600 604.0 614.0 c61
o100 540 545 552.0 567.0 c43
o101 635 660 665.0 675.0 c74
o102 515 542 547.0 562.0 c88
o103 515 550 551.0 565.0 c62
o104 496 511 517.0 530.0 c49
o105 263 276 283.0 296.0 c36
o106 665 675 682.0 700.0 c71
o107 528 548 552.0 561.0 c81
o108 614 650 650.0 660.0 c97
o109 606 624 624.0 638.0 c56
o11 526 544 544 559.0 c53
o110 108 111 123.0 138.0 c22
o111 613 650 650 659.0 c103
o112 485 522 525.0 543.0 c45
o113 258 273 278.0 286.0 c30
o114 171 208 212.0 222.0 c16
o115 529 551 551.0 566.0 c55
o116 197 222 229.0 238.0 c18
o117 479 516 516.0 527.0 c55
o118 623 655 655 671.0 c78
o119 187 205 205.0 221.0 c23
o12 313 344 344 367.0 c35
o120 572 590 593.0 613.0 c92
o121 59 82 82 92.0 c3
o122 676 694 703.0 714.0 c96
o123 591 603 609.0 623.0 c65
o124 525 550 550.0 558.0 c45
o126 334 361 366.0 374.0 c32
o127 651 676 685.0 700.0 c74
o128 569 606 615.0 629.0 c91
o129 436 471 478.0 490.0 c63
o13 508 520 520 527.0 c65
o130 585 622 628.0 635.0 c50
o131 256 268 289.0 308.0 c26
o132 792 829 829.0 837.0 c113
o133 559 570 574.0 591.0 c78
o134 533 551 555.0 569.0 c68
o135 514 539 539.0 546.0 c55
o136 264 282 307.0 325.0 c34
o137 194 215 216.0 221.0 c4
o138 665 688 696.0 704.0 c95
o139 628 640 640.0 654.0 c95
o14 455 465 465.0 479.0 c38
o140 497 508 511.0 523.0 c58
o141 550 557 571.0 581.0 c81
o142 708 726 739.0 749.0 c113
o143 208 245 250.0 256.0 c21
o144 610 622 628.0 642.0 c45
o145 630 650 650.0 664.0 c68
o146 13 31 55.0 75.0 c3
o147 554 591 601.0 614.0 c58
o148 117 129 134.0 141.0 c16
o149 225 260 261.0 278.0 c5
o15 646 671 682.0 699.0 c77
o150 660 666 679.0 693.0 c96
o151 710 722 724.0 736.0 c100
o152 177 202 209.0 224.0 c9
o153 117 185 185 194.0 c20
o154 566 577 577.0 588.0 c72
o155 579 606 616.0 633.0 c83
o156 259 277 283.0 290.0 c33
o157 496 523 530.0 544.0 c92
o158 532 564 570.0 576.0 c85
o159 36 61 66.0 78.0 c2
o160 184 192 193.0 198.0 c7
o161 703 715 719.0 725.0 c109
o162 605 607 616.0 623.0 c63
o163 72 100 100.0 115.0 c17
o164 118 136 139.0 149.0 c6
o165 532 555 556.0 563.0 c59
o166 641 657 664.0 672.0 c92
o167 550 576 584.0 595.0 c61
o168 228 240 243.0 256.0 c16
o169 349 351 355.0 360.0 c36
o17 647 684 690.0 700.0 c93
