Assignment_time Pickup_time Courier_ID Orders
140 160.0 c1 o466
115 128.0 c5 o962
135 146.0 c5 o345
165 173.0 c5 o356
190 198.0 c6 o787
215 222.0 c6 o245
255 264.0 c6 o848
270 285.0 c6 o794
275 298.0 c7 o374
185 195.0 c8 o860
210 218.0 c8 o521
225 235.0 c8 o648
260 274.0 c8 o73
280 294.0 c8 o179
260 277.0 c9 o874
290 299.0 c9 o949
255 264.0 c10 o353
265 279.0 c10 o173
260 278.0 c11 o634
260 277.0 c12 o734
290 297.0 c12 o468
275 292.0 c13 o293
200 210.0 c14 o934
240 246.0 c14 o81
260 276.0 c14 o443
280 295.0 c14 o513
250 260.0 c15 o914
270 278.0 c15 o580
275 294.0 c15 o904
215 225.0 c16 o749
235 244.0 c16 o937
255 266.0 c16 o50
265 283.0 c16 o272
215 224.0 c17 o219
260 272.0 c17 o204
270 289.0 c17 o935
235 243.0 c18 o791
245 256.0 c18 o37
270 278.0 c18 o520
235 243.0 c19 o370
250 263.0 c19 o435
270 286.0 c19 o596
260 277.0 c20 o249
290 299.0 c20 o366
285 310.0 c21 o311
325 332.0 c21 o715
340 347.0 c21 o591
350 360.0 c21 o802
375 383.0 c21 o616
395 404.0 c21 o91
260 277.0 c22 o133
280 293.0 c22 o368
315 325.0 c22 o217
340 349.0 c22 o139
360 368.0 c22 o170
385 392.0 c22 o364
400 410.0 c22 o804
295 305.0 c23 o690
315 323.0 c23 o669
335 343.0 c23 o517
350 358.0 c23 o927
390 396.0 c23 o101
400 408.0 c23 o75
410 420.0 c23 o855
445 454.0 c23 o834
460 470.0 c23 o433
305 313.0 c25 o536
320 330.0 c25 o938
345 354.0 c25 o821
360 371.0 c25 o627
395 401.0 c25 o324
405 414.0 c25 o653
440 448.0 c25 o84
460 470.0 c25 o56
405 414.0 c26 o381
460 468.0 c26 o953
355 365.0 c29 o857
375 385.0 c29 o490
400 411.0 c29 o288
420 429.0 c29 o430
460 468.0 c29 o967
335 345.0 c30 o19
345 360.0 c30 o518
380 386.0 c30 o93
400 408.0 c30 o965
425 433.0 c30 o488
460 467.0 c30 o587
320 329.0 c31 o700
345 351.0 c31 o220
355 364.0 c31 o483
370 380.0 c31 o387
385 391.0 c31 o730
405 413.0 c31 o111
460 470.0 c31 o338
305 313.0 c32 o88
320 327.0 c32 o881
330 338.0 c32 o198
345 355.0 c32 o721
360 372.0 c32 o632
385 393.0 c32 o492
400 410.0 c32 o86 o215
455 463.0 c32 o577
345 357.0 c33 o141
360 369.0 c33 o859
380 389.0 c33 o184
390 400.0 c33 o856
410 422.0 c33 o32
450 459.0 c33 o924
470 480.0 c33 o259
320 329.0 c35 o854
340 350.0 c35 o482
355 366.0 c35 o899
385 391.0 c35 o462
465 476.0 c35 o710
320 329.0 c37 o171
335 345.0 c37 o39
355 366.0 c37 o959
385 391.0 c37 o4
400 410.0 c37 o394
425 434.0 c37 o439
445 451.0 c37 o261
305 313.0 c38 o712
315 324.0 c38 o297
335 341.0 c38 o725
345 353.0 c38 o201
370 379.0 c38 o808
395 403.0 c38 o793
410 417.0 c38 o361
425 432.0 c38 o876
450 458.0 c38 o547
465 475.0 c38 o636
305 313.0 c39 o116
320 329.0 c39 o274
340 348.0 c39 o640
360 369.0 c39 o945
385 393.0 c39 o797
400 408.0 c39 o680
460 467.0 c39 o10
315 321.0 c40 o23
335 342.0 c40 o63
355 364.0 c40 o78
395 404.0 c40 o906
320 331.0 c41 o27
345 355.0 c41 o958
370 376.0 c41 o667
390 400.0 c41 o733
405 415.0 c41 o703
460 468.0 c41 o160
315 326.0 c42 o108
335 343.0 c42 o150
405 415.0 c42 o625
425 432.0 c42 o561
450 459.0 c42 o569
465 472.0 c42 o157
345 355.0 c43 o605
360 369.0 c43 o442
390 399.0 c43 o907
315 325.0 c44 o196
340 347.0 c44 o339
355 363.0 c44 o514
380 386.0 c44 o915
400 409.0 c44 o814
450 461.0 c44 o540
295 306.0 c46 o663
310 322.0 c46 o720
330 338.0 c46 o879
360 367.0 c46 o925
445 451.0 c46 o383
315 326.0 c47 o142
335 345.0 c47 o26
355 362.0 c47 o769
375 384.0 c47 o590
440 447.0 c47 o930
465 474.0 c47 o835
305 315.0 c48 o103
335 342.0 c48 o824
410 421.0 c48 o839
450 459.0 c48 o652
345 353.0 c49 o137
395 402.0 c49 o883
405 413.0 c49 o331
425 431.0 c49 o807
455 465.0 c49 o697
305 315.0 c50 o400
320 329.0 c50 o210
335 342.0 c50 o113
355 363.0 c50 o559
370 380.0 c50 o546
390 399.0 c50 o666
410 420.0 c50 o355
445 452.0 c50 o422
300 309.0 c51 o424
320 329.0 c51 o251
340 348.0 c51 o713
355 365.0 c51 o563
385 394.0 c51 o477
405 413.0 c51 o125
445 453.0 c51 o377
465 475.0 c51 o761
320 326.0 c52 o385
340 349.0 c52 o296
360 369.0 c52 o728
380 388.0 c52 o901
400 409.0 c52 o429
415 425.0 c52 o233
440 447.0 c52 o301
460 466.0 c52 o798
360 373.0 c53 o607
380 386.0 c53 o321
395 403.0 c53 o432
410 420.0 c53 o282
440 449.0 c53 o449
460 468.0 c53 o378
300 306.0 c55 o450
315 324.0 c55 o868
335 341.0 c55 o323
345 355.0 c55 o123
365 378.0 c55 o582
385 394.0 c55 o57
400 408.0 c55 o423
415 424.0 c55 o242
460 466.0 c55 o351
315 323.0 c56 o235
340 350.0 c56 o110
355 366.0 c56 o572
400 408.0 c56 o496
445 453.0 c56 o604
465 475.0 c56 o505
300 307.0 c57 o811
310 322.0 c57 o626
335 345.0 c57 o673
345 359.0 c57 o891
365 378.0 c57 o562
400 407.0 c57 o241
460 467.0 c57 o786
320 330.0 c59 o672
370 380.0 c59 o358
400 410.0 c59 o206
450 458.0 c59 o763
470 480.0 c59 o852
350 359.0 c60 o346
365 373.0 c60 o642
390 399.0 c60 o729
410 418.0 c60 o53
455 464.0 c60 o693
345 359.0 c61 o8
350 362.0 c63 o630
365 377.0 c63 o722
395 404.0 c63 o841
440 448.0 c63 o399
410 422.0 c65 o48
450 460.0 c65 o446
485 498.0 c66 o58
510 519.0 c66 o408
585 594.0 c66 o489
620 628.0 c66 o195
645 656.0 c66 o948
485 498.0 c67 o760
530 537.0 c67 o501
570 580.0 c67 o939
590 599.0 c67 o308
605 613.0 c67 o589
625 632.0 c67 o248
640 649.0 c67 o620
490 500.0 c68 o661
530 537.0 c68 o357
545 553.0 c68 o448
495 507.0 c69 o285
510 521.0 c69 o397
530 538.0 c69 o213
550 557.0 c69 o524
575 585.0 c69 o76
595 604.0 c69 o15
605 615.0 c69 o504
630 635.0 c69 o639
640 650.0 c69 o403
495 506.0 c70 o655
515 522.0 c70 o147
535 544.0 c70 o800
550 557.0 c70 o120
475 488.0 c71 o892
490 505.0 c71 o644
515 524.0 c71 o842
580 586.0 c71 o641
605 615.0 c71 o679
625 634.0 c71 o440
485 495.0 c72 o491
530 540.0 c72 o689
565 574.0 c72 o758
585 592.0 c72 o651
605 611.0 c72 o413
495 507.0 c73 o404
520 529.0 c73 o266
575 583.0 c73 o223
595 603.0 c73 o458
615 622.0 c73 o1
635 646.0 c73 o49
645 657.0 c73 o178
475 492.0 c74 o815
500 513.0 c74 o222
520 529.0 c74 o933
540 547.0 c74 o675
560 566.0 c74 o373
570 581.0 c74 o146
590 599.0 c74 o47
610 620.0 c74 o291
630 638.0 c74 o352
480 488.0 c75 o574
530 540.0 c75 o799
585 596.0 c75 o121
605 616.0 c75 o727
630 638.0 c75 o289
650 660.0 c75 o584
485 493.0 c76 o531
505 513.0 c76 o714
535 545.0 c76 o500
565 572.0 c76 o445
635 644.0 c76 o718
475 489.0 c77 o176
490 500.0 c77 o459
500 513.0 c77 o452
475 492.0 c78 o595
505 516.0 c78 o152
525 535.0 c78 o886
570 578.0 c78 o202
585 594.0 c78 o470
600 612.0 c78 o268
640 650.0 c78 o692
495 509.0 c79 o788
520 529.0 c79 o622
550 558.0 c79 o851
475 487.0 c80 o244
500 509.0 c80 o409
525 535.0 c80 o465
590 600.0 c80 o877
635 644.0 c80 o887
520 529.0 c81 o269
475 486.0 c82 o119
495 509.0 c82 o480
495 505.0 c84 o51
525 533.0 c84 o523
545 555.0 c84 o135
480 492.0 c85 o498
510 518.0 c85 o460
530 537.0 c85 o419
485 494.0 c86 o905
500 510.0 c86 o87
525 535.0 c86 o264
550 560.0 c86 o884
580 586.0 c86 o609
480 491.0 c88 o243
510 517.0 c88 o126
530 540.0 c88 o192
555 561.0 c88 o155
575 583.0 c88 o813
595 602.0 c88 o252
620 627.0 c88 o447
635 644.0 c88 o528
645 657.0 c88 o317
500 509.0 c89 o22
540 551.0 c89 o588
580 587.0 c89 o411
635 644.0 c89 o402
