"Courier ID" "Departure time" Origin Destination "Assignment ID"
c1 20.0 r123 o273 1
c1 116.0 r58 o356 2
c1 121.0 o356 o77 2
c1 132.0 o77 o635 2
c1 168.0 r85 o279 3
c1 172.0 o279 o140 3
c2 25.0 r207 o1151 4
c3 96.0 r21 o946 5
c3 102.0 o946 o948 5
c3 107.0 o948 o733 5
c3 122.0 o733 o23 5
c3 150.0 r35 o225 6
c3 153.0 o225 o201 6
c4 123.0 r41 o711 7
c4 126.0 o711 o445 7
c4 129.0 o445 o1039 7
c4 135.0 o1039 o237 7
c4 144.0 o237 o1298 7
c4 161.0 r9 o432 8
c5 33.0 r133 o256 9
c5 121.0 r92 o1103 10
c5 124.0 o1103 o935 10
c5 136.0 r142 o307 11
c6 27.0 r103 o171 12
c6 48.0 r50 o1085 13
c7 195.0 r89 o141 14
c7 199.0 o141 o488 14
c7 216.0 r45 o515 15
c8 35.0 r133 o661 16
c8 113.0 r43 o990 17
c8 117.0 o990 o303 17
c8 122.0 o303 o986 17
c8 127.0 o986 o940 17
c9 43.0 r88 o136 18
c10 50.0 r38 o419 19
c10 54.0 o419 o150 19
c10 136.0 r49 o962 20
c10 141.0 o962 o355 20
c10 145.0 o355 o1352 20
c10 186.0 r101 o168 21
c10 190.0 o168 o413 21
c11 99.0 r117 o208 22
c11 103.0 o208 o880 22
c11 181.0 r17 o548 23
c11 188.0 o548 o521 23
c12 82.0 r39 o228 24
c12 159.0 r24 o882 25
c12 162.0 o882 o451 25
c12 168.0 o451 o1257 25
c12 174.0 o1257 o559 25
c12 180.0 o559 o1349 25
c12 184.0 o1349 o1105 25
c12 209.0 r151 o378 26
c13 72.0 r68 o592 27
c13 138.0 r78 o1055 28
c13 142.0 o1055 o797 28
c13 151.0 o797 o144 28
c13 155.0 o144 o743 28
c13 167.0 o743 o793 28
c13 239.0 r6 o452 29
c13 246.0 o452 o777 29
c13 259.0 o777 o1309 29
c13 289.0 r9 o490 30
c13 296.0 o490 o145 30
c14 85.0 r123 o230 31
c14 169.0 r56 o823 32
c14 174.0 o823 o75 32
c14 249.0 r2 o1004 33
c14 256.0 o1004 o532 33
c14 265.0 o532 o2 33
c14 278.0 o2 o414 33
c15 100.0 r59 o683 34
c15 105.0 o683 o78 34
c15 203.0 r126 o266 35
c15 209.0 o266 o889 35
c15 254.0 r29 o332 36
c15 263.0 o332 o686 36
c16 136.0 r124 o232 37
c16 143.0 o232 o1086 37
c16 168.0 r32 o499 38
c16 177.0 o499 o905 38
c17 80.0 r124 o662 39
c17 199.0 r152 o380 40
c17 203.0 o380 o658 40
c17 225.0 r11 o11 41
c18 92.0 r21 o881 42
c18 175.0 r58 o775 43
c18 183.0 o775 o538 43
c18 188.0 o538 o431 43
c18 227.0 r9 o1171 44
c18 237.0 o1171 o1114 44
c19 150.0 r30 o216 45
c19 154.0 o216 o1246 45
c19 189.0 r6 o1295 46
c19 194.0 o1295 o1358 46
c20 147.0 r28 o284 47
c20 151.0 o284 o108 47
c20 158.0 o108 o103 47
c20 166.0 o103 o829 47
c20 172.0 r92 o1011 48
c21 167.0 r82 o1133 49
c21 176.0 o1133 o613 49
c21 210.0 r12 o13 50
c22 91.0 r110 o513 51
c22 187.0 r58 o840 52
c22 195.0 o840 o908 52
c22 226.0 r26 o164 53
c22 237.0 o164 o172 53
c23 126.0 r2 o245 54
c23 129.0 o245 o12 54
c23 134.0 o12 o653 54
c23 143.0 o653 o482 54
c23 150.0 o482 o1254 54
c23 221.0 r78 o693 55
c23 228.0 o693 o626 55
c23 242.0 o626 o137 55
c23 252.0 o137 o742 55
c24 101.0 r79 o831 56
c24 106.0 o831 o836 56
c24 173.0 r44 o72 57
c24 181.0 o72 o49 57
c24 194.0 r42 o47 58
c25 176.0 r136 o930 59
c25 180.0 o930 o280 59
c25 209.0 r9 o681 60
c26 131.0 r24 o560 61
c26 137.0 o560 o26 61
c26 140.0 o26 o539 61
c26 147.0 o539 o1217 61
c26 160.0 o1217 o212 61
c26 174.0 r127 o241 62
c27 80.0 r110 o1180 63
c27 175.0 r47 o125 64
c27 179.0 o125 o121 64
c27 188.0 o121 o1205 64
c27 204.0 r52 o1210 65
c27 209.0 o1210 o69 65
c28 166.0 r22 o979 66
c28 172.0 o979 o1173 66
c28 178.0 o1173 o309 66
c28 207.0 r49 o59 67
c28 212.0 o59 o806 67
c28 236.0 r75 o1226 68
c29 212.0 r136 o926 69
c29 215.0 o926 o809 69
c29 234.0 r56 o975 70
c30 72.0 r30 o660 71
c30 109.0 r86 o841 72
c30 114.0 o841 o289 72
c30 136.0 r83 o347 73
c30 149.0 o347 o128 73
c30 225.0 r29 o132 74
c30 233.0 o132 o755 74
c31 111.0 r59 o1009 75
c31 128.0 r10 o884 76
c32 144.0 r201 o1324 77
c32 151.0 o1324 o1042 77
c32 173.0 r5 o223 78
c32 183.0 o223 o859 78
c33 142.0 r117 o978 79
c33 151.0 o978 o988 79
c33 181.0 r189 o1207 80
c33 185.0 o1207 o725 80
c34 104.0 r71 o408 81
c34 107.0 o408 o1194 81
c34 170.0 r96 o1137 82
c34 176.0 o1137 o622 82
c34 212.0 r2 o1328 83
c35 146.0 r25 o28 84
c35 155.0 o28 o1130 84
c35 187.0 r82 o127 85
c35 191.0 o127 o511 85
c36 189.0 r73 o390 86
c36 196.0 o390 o109 86
c36 242.0 r128 o343 87
c36 249.0 o343 o242 87
c37 192.0 r138 o909 88
c37 196.0 o909 o960 88
c37 203.0 o960 o762 88
